driver,Dale Earnhardt Jr. 🇺🇸
year,races,wins,poles,podiums,points,place
1999,5,0,0,0,1,48
2000,34,2,2,3,5,16
2001,36,3,2,9,15,8
2002,36,2,2,11,16,11
2003,36,2,0,13,21,3
2004,36,6,0,16,21,5
2005,36,1,0,7,13,19
2006,36,1,0,10,17,5
2007,36,0,1,0,12,16
2008,36,1,1,10,16,12
2009,36,0,0,2,5,25
2010,36,0,1,3,8,21
2011,36,0,1,4,12,7
2012,36,1,1,10,20,12
2013,36,0,2,10,22,5
2014,36,4,0,12,20,8
2015,36,3,0,16,22,12
2016,18,0,0,5,6,32
2017,36,0,2,1,8,21
